Return Age group R1_2,,,,,Return Age group R1_3,,,,,Return Age group R2_2,,,,,Return Age group R2_3,,,,
,Year,Return,Forecast,,,Year,Return,Forecast,,,Year,Return,Forecast,,,Year,Return,Forecast,MAPE
Model: log(R1_2) ~ log(R1_1 + 1),,,,,Model: log(R1_3)~log(R1_2),,,,,Model: log(R2_2)~log(R2_1),,,,,Model: log(R2_3)~log(R2_2),,,,
1,2008,"213,953","255,269",0.19310674,1,2007," 66,436 "," 155,122 ",1.334904014,1,2007," 236,518 "," 214,040 ",0.095036497,1,2006," 41,169 "," 87,786 ",1.13233549
2,2009,"313,226","275,629",0.120030724,2,2008," 242,772 "," 236,665 ",0.025155421,2,2008," 288,531 "," 221,955 ",0.230742169,2,2007," 60,962 "," 97,318 ",0.596371262
3,2010,"419,210","262,101",0.374773277,3,2009," 378,971 "," 305,609 ",0.193581712,3,2009," 231,195 "," 203,415 ",0.120159717,3,2008," 38,056 "," 113,845 ",1.99151506
4,2011,"196,670","263,285",0.338712533,4,2010," 480,721 "," 374,505 ",0.220952073,4,2010," 353,959 "," 221,460 ",0.374333828,4,2009," 95,595 "," 90,002 ",0.058502347
5,2012,"156,914","262,099",0.670335534,5,2011," 141,359 "," 226,403 ",0.601616394,5,2011," 203,406 "," 228,424 ",0.122993623,5,2010," 45,131 "," 129,551 ",1.870559365
6,2013,"294,845","239,119",0.189001023,6,2012," 173,630 "," 192,137 ",0.106587833,6,2012," 208,207 "," 200,194 ",0.038486486,6,2011," 106,044 "," 77,999 ",0.264468374
7,2014,"354,699","254,449",0.282634381,7,2013," 77,740 "," 294,316 ",2.785903706,7,2013," 247,574 "," 225,863 ",0.087693362,7,2012," 6,145 "," 80,185 ",12.04879546
8,2015,"320,786","237,363",0.260056655,8,2014," 246,581 "," 320,276 ",0.298865442,8,2014," 85,044 "," 200,081 ",1.352675637,8,2013," 3,536 "," 85,871 ",23.28474223
9,2016,"492,656","253,165",0.486121394,9,2015," 227,581 "," 297,253 ",0.306140318,9,2015," 89,165 "," 188,157 ",1.110213769,9,2014," 5,576 "," 35,036 ",5.28332882
10,2017,"548,270","244,623",0.553827258,10,2016," 231,368 "," 389,903 ",0.685208798,10,2016," 43,477 "," 72,833 ",0.675198161,10,2015," 22,871 "," 34,559 ",0.511026501
11,2018,NA,"262,737",0.346859952,11,2017, NA ," 407,203 ",0.655891571,11,2017, NA ," 193,087 ",0.420753325,11,2016, NA ," 19,602 ",4.704164491
,,,,,,,,,,,,,,,,,,,
log(R1_2) ~ log(ESCP),,,,,Regression on log(R1_2) with ARIMA error,,,,,log(R2_2)~log(ESCP),,,,,Regression on log(R2_2) with ARIMA error,,,,
1,2008,"213,953","272,720",0.274673134,1,2007," 66,436 "," 184,407 ",1.775704995,1,2007," 236,518 "," 283,478 ",0.198546446,1,2006," 41,169 "," 89,255 ",1.16802112
2,2009,"313,226","269,671",0.139051591,2,2008," 242,772 "," 329,632 ",0.357784577,2,2008," 288,531 "," 247,407 ",0.142530502,2,2007," 60,962 "," 99,974 ",0.639942209
3,2010,"419,210","254,350",0.393263398,3,2009," 378,971 "," 323,208 ",0.147144123,3,2009," 231,195 "," 249,063 ",0.077283706,3,2008," 38,056 "," 118,629 ",2.117229784
4,2011,"196,670","229,191",0.165359611,4,2010," 480,721 "," 383,584 ",0.202064679,4,2010," 353,959 "," 222,255 ",0.372088383,4,2009," 95,595 "," 93,618 ",0.020682262
5,2012,"156,914","302,494",0.927767251,5,2011," 141,359 "," 215,130 ",0.52187033,5,2011," 203,406 "," 183,947 ",0.095667318,5,2010," 45,131 "," 139,007 ",2.080088757
6,2013,"294,845","346,117",0.173893108,6,2012," 173,630 "," 227,700 ",0.311410801,6,2012," 208,207 "," 297,300 ",0.427904642,6,2011," 106,044 "," 80,797 ",0.238084785
7,2014,"354,699","320,273",0.097055584,7,2013," 77,740 "," 318,357 ",3.095153674,7,2013," 247,574 "," 390,583 ",0.577639722,7,2012," 6,145 "," 83,104 ",12.52378531
8,2015,"320,786","336,990",0.050513588,8,2014," 246,581 "," 550,943 ",1.234328408,8,2014," 85,044 "," 337,465 ",2.968127924,8,2013," 3,536 "," 91,623 ",24.91149069
9,2016,"492,656","220,177",0.553081471,9,2015," 227,581 "," 337,255 ",0.481912706,9,2015," 89,165 "," 336,774 ",2.776975236,9,2014," 5,576 "," 2,200 ",0.605434447
10,2017,"548,270","289,305",0.472331839,10,2016," 231,368 "," 408,044 ",0.763615411,10,2016," 43,477 "," 162,720 ",2.742671708,10,2015," 22,871 "," 5,828 ",0.745199642
11,2018,NA,"311,609",0.324699057,11,2017, NA ," 407,203 ",0.88909897,11,2017, NA ," 231,938 ",1.037943559,11,2016, NA ," 6,007 ",4.504995901
,,,,,,,,,,,,,,,,,,,
Regression on ESCP with ARIMA error,,,,,log(R1_2)~log(SM1),,,,,Regression on log(R2_1) with ARIMA error,,,,,R2_3~R2_2,,,,
1,2008,"213,953","144,097",0.326500024,1,2007," 66,436 "," 223,966 ",2.371156031,1,2007," 236,518 "," 208,016 ",0.120508111,1,2006," 41,169 "," 85,648 ",1.080396396
